#{"t_start": 1643291651.848132, "env_id": "threecarlanechangeScenario-v0"}
r,l,t
20.516441,156,578.758826
-606.015199,200,581.322904
-621.196799,200,583.94002
-880.090575,148,585.977369
-500,1,585.991335
192.166861,158,588.031912
-506.329994,3,588.070821
-304.325384,170,590.320929
-483.04511,199,592.169839
161.341712,185,594.004506
147.857934,156,595.659158
-450.541236,184,597.71843
-641.696126,200,599.942075
-475.93414,180,602.340651
-602.225667,200,605.24489
-381.090144,120,606.795707
-480.698387,200,609.367675
-240.709212,154,611.431193
108.150026,167,613.629383
-701.063323,200,616.159481
-500,1,616.175468
198.443624,156,618.027183
-566.192665,25,618.283819
-618.241417,200,620.689333
77.131414,180,623.002428
144.434272,155,624.976839
-405.559341,177,627.249941
-829.932547,200,629.84347
-668.628402,200,632.551476
-228.026952,198,635.509941
-686.00241,200,638.330899
-621.695884,200,640.858987
-392.901974,200,643.420699
-755.054676,200,645.991537
83.508027,184,648.37825
-320.28168,165,650.623586
-414.266137,145,652.649041
-444.918363,184,655.087075
-512.732517,200,657.68813
-741.124127,200,660.339483
-602.634804,200,662.906879
-662.582181,70,663.856421
-803.866245,200,666.294219
-599.524268,200,669.242292
-239.947146,152,671.18426
-584.524027,200,673.734776
-823.90524,134,675.426543
-502.378483,200,677.639319
-841.942369,200,680.008584
51.595647,163,682.075747
-158.028305,200,684.634935
-889.994058,135,686.361206
-750.865081,124,687.966104
-744.117344,200,690.609154
-500,1,690.620125
-58.797931,159,692.629554
-542.959344,145,694.603686
-693.761557,200,697.227317
-581.905738,200,700.372332
-890.954999,153,702.437164
-559.582043,31,702.906802
157.111637,152,705.048015
251.799496,161,707.291904
166.987908,159,709.443692
-793.96744,200,712.19381
121.015334,142,714.148206
40.810513,182,716.606736
181.395345,160,718.706963
-850.471129,150,720.826414
143.241273,151,722.786844
-500,1,722.798738
-500,1,722.80971
-362.159408,150,724.782027
-504.556131,2,724.813085
-463.862501,200,727.860646
-852.49119,200,731.213699
-903.362626,156,733.506261
-3.76268,172,736.535367
213.492445,120,738.71919
-843.921487,126,740.65615
103.579933,139,742.931885
156.606178,143,745.064906
189.219995,150,747.439728
-599.831065,200,750.662578
90.699909,189,753.810186
-845.183163,153,755.87926
-891.222435,126,757.528425
-737.85118,119,759.32107
165.131474,137,761.411935
-937.442045,158,763.580025
126.131345,165,765.668153
204.86056,169,767.901241
-350.33764,153,769.894961
-500,1,769.906916
130.127525,132,771.611293
263.800704,140,773.423196
-64.541576,173,775.683638
-392.539936,119,777.196686
47.820782,165,779.318267
50.238087,187,781.737861
-462.678917,200,784.470485
185.396036,161,786.480919
111.213756,149,788.386824
38.250226,155,790.768994
18.088555,169,793.333569
