#{"t_start": 1644439660.110739, "env_id": "circularroadScenario-v0"}
r,l,t
2018.733613,300,864.666626
1509.956842,88,865.229875
1224.525872,299,867.474871
1181.139342,300,869.449253
-168.527617,12,869.533035
-201.141376,13,869.617805
2147.79796,300,871.417002
1538.80848,99,872.009034
1604.20112,213,873.291674
7334.962629,100,873.895377
1965.585859,263,875.456071
1767.706979,300,877.275255
1747.943123,300,879.077615
1815.13034,300,880.877221
1289.600033,300,882.678978
1157.128304,300,884.492234
1347.746569,300,886.298534
1147.448144,300,888.107989
1043.208323,88,888.64578
1424.082199,300,890.458554
1715.207905,300,892.553535
2030.609568,300,894.37279
1269.529871,300,896.187048
1090.109818,300,897.978195
7301.642857,262,899.566728
1863.210131,300,901.38177
-402.153478,13,901.461526
1351.185778,147,902.336623
1962.519436,300,904.143542
2009.05546,300,905.942871
1332.195026,300,907.730158
2349.157489,164,908.719213
828.602599,94,909.283204
1916.067145,300,911.102276
1970.219935,300,912.905088
1771.433326,300,914.696995
2043.775302,300,916.472795
2124.002989,300,918.273218
-4836.164582,300,920.086528
1381.5621,300,921.890501
2317.595393,300,923.982738
1716.180967,300,926.120418
1520.544596,300,928.283636
1655.88102,300,930.108223
1278.826602,300,931.917281
-157.215982,16,932.016839
-177.615045,15,932.108667
1406.628663,300,933.916972
2014.880584,300,935.716516
2042.674461,300,937.513836
2260.465055,300,939.326374
7735.424925,140,940.165407
2445.364964,300,942.004396
1881.584076,300,943.782462
2361.87849,300,945.856489
1839.379692,300,947.641589
6919.096181,230,949.033467
2030.915028,138,949.872509
2317.150426,300,951.686186
2352.634036,300,953.497549
-394.671748,26,953.66629
2583.682542,300,955.481934
1574.005226,300,957.29396
5000,1,957.303532
1687.417536,116,958.006928
2257.117569,300,959.798649
1293.080321,102,960.410891
622.65173,300,962.215742
1689.215734,296,963.99121
1551.361579,104,964.622463
1133.925213,300,966.427387
1662.742024,139,967.25216
1598.260107,120,967.97318
7103.361182,136,968.792217
1591.025978,287,970.528909
1324.183248,300,972.326599
-196.285623,37,972.553633
2018.394733,300,974.348405
1286.98841,300,976.160385
2137.955216,181,977.516506
2209.565113,157,978.49714
1750.522921,297,980.287398
1968.218203,130,981.059649
1229.636631,242,982.539316
2331.480402,154,983.454545
2583.654322,200,984.64646
1202.176283,66,985.054138
1684.816755,129,986.044293
2080.624839,300,988.304253
1541.69082,221,989.636026
1067.989088,147,990.524685
1711.13713,208,991.779843
2319.02381,239,993.389436
2177.69478,263,995.123276
1664.586042,184,996.238542
2059.639836,300,998.0381
1329.397631,300,999.855759
1718.62073,187,1000.985884
1876.882051,200,1002.175614
1500.464906,300,1003.935557
2051.282196,300,1005.753938
2132.784283,260,1007.311438
1621.210074,300,1009.522096
1724.883391,300,1011.437519
-134.799238,58,1011.786204
1663.243451,300,1013.600092
2006.571326,300,1015.420562
1660.069624,300,1017.224595
2460.293738,201,1018.446934
2011.485432,185,1019.540819
-432.787118,36,1019.754093
860.349135,300,1021.557487
2234.190257,300,1023.363899
2564.104774,300,1025.154672
1849.37576,300,1026.964164
-264.42135,9,1027.019645
2251.010532,300,1028.822377
2091.053724,300,1030.633098
2061.311158,300,1032.425677
238.384824,41,1032.674845
2373.238614,300,1034.485091
1712.817057,300,1036.544981
1669.17106,298,1038.396593
2097.222077,300,1040.462329
-265.727315,26,1040.618601
-563.528042,38,1040.841756
1892.50585,300,1042.667917
2307.861295,300,1044.486427
1342.24272,300,1046.73352
2135.274928,300,1048.810837
2252.586436,300,1050.595059
2187.486774,300,1052.393536
2001.426954,271,1054.042521
2100.910903,300,1055.823307
1518.650498,300,1057.614363
2123.944457,300,1059.41748
1733.816885,298,1061.163774
423.932549,36,1061.375213
2092.756955,300,1063.157084
2037.866934,300,1064.965017
2067.644651,300,1066.746627
7158.503785,299,1068.557182
1832.185977,300,1070.364502
1223.983937,300,1072.429964
1239.631706,300,1074.245269
1140.150578,300,1076.054091
1843.070626,300,1077.845118
1622.718015,300,1079.65322
-447.497217,9,1079.714062
7521.17544,211,1080.977822
7377.737308,221,1082.31337
1761.37864,300,1084.116083
2106.461546,300,1085.938497
1411.708799,291,1087.684656
1976.720421,300,1089.49243
2163.909046,300,1091.322562
520.84681,300,1093.083642
1316.151216,300,1094.880876
-335.939722,8,1094.931411
6305.380582,78,1095.393963
7674.905559,192,1096.563416
-387.873962,27,1096.746243
1505.419839,300,1098.548294
1502.091496,300,1100.366027
1350.703177,300,1102.323014
7471.97078,139,1103.297131
475.848777,300,1105.090721
1585.18823,300,1107.434485
2074.966492,300,1109.438579
5900.239289,48,1109.730908
994.523346,78,1110.205291
1414.667207,300,1111.985305
7624.266409,181,1113.072354
1223.161245,300,1114.861293
2060.242272,300,1116.663106
1070.183625,300,1118.467594
-177.587002,19,1118.585772
5164.44432,16,1118.684653
1716.941033,300,1120.481195
469.157237,300,1122.286048
1000.515443,300,1124.086808
-947.416154,300,1125.880952
1581.014669,189,1126.996551
556.699687,55,1127.331941
-152.753922,19,1127.460338
-386.350103,7,1127.507212
-2430.186628,300,1129.299594
-1159.868383,300,1131.085774
-132.419088,300,1132.893979
-2270.177406,290,1134.958021
1672.248528,300,1136.744061
6284.764378,276,1138.412655
1469.409087,300,1140.204671
5528.799076,31,1140.392291
-229.692092,300,1142.193897
1782.820294,300,1144.003511
352.058712,300,1145.810585
576.892909,300,1147.618106
5437.876991,17,1147.72423
1705.132552,300,1149.525488
986.665945,300,1151.334704
999.049421,300,1153.129324
1415.793679,273,1154.755128
639.758978,45,1155.034361
-293.765169,17,1155.142118
1207.010922,300,1157.05942
924.881064,300,1158.860514
256.378144,300,1160.673496
