#{"t_start": 1644493568.8420126, "env_id": "intersectionScenario-v0"}
r,l,t
-902.579291,47,1225.84081
2618.780359,181,1227.562452
63.800417,110,1228.596475
343.723917,103,1229.823971
-664.247299,14,1229.953272
461.332673,66,1230.57436
-331.789467,53,1231.080304
54.473691,37,1231.508185
-174.754481,77,1232.408859
2667.670543,177,1234.285551
2045.183383,159,1235.881416
2599.383588,195,1237.84897
-301.839461,50,1238.318571
-251.491627,26,1238.560894
2963.473907,146,1239.960886
3291.533105,171,1242.040218
-846.82017,51,1242.637653
-415.614955,68,1243.418941
3289.944261,157,1244.922746
-42.697343,63,1245.516993
2238.002209,165,1247.078025
961.140892,154,1248.519381
-1027.706811,85,1249.310224
305.47714,64,1249.913571
69.463289,93,1250.797556
-1246.593884,48,1251.251811
-461.48853,128,1252.461719
-1128.370337,34,1252.776129
-31.242043,102,1253.781228
48.051528,90,1254.74852
-343.46514,71,1255.441137
102.620072,75,1256.146374
-3979.4717,182,1257.977303
-500.400171,67,1258.974725
-283.909373,59,1259.820655
280.555714,73,1260.866099
852.677142,165,1262.65826
-370.684051,63,1263.256602
-309.496063,24,1263.510096
-7869.779625,263,1266.284648
-21.99689,69,1266.990891
3038.454716,187,1268.805068
85.193696,88,1269.632465
-174.174321,42,1270.024308
-828.151911,32,1270.327487
2943.580262,146,1271.728362
-539.699122,11,1271.82914
-129.410546,32,1272.126931
-756.148758,36,1272.463464
-654.168643,66,1273.097182
34.049226,63,1273.68275
2410.975303,160,1275.190769
6.388793,101,1276.15371
-804.893919,60,1276.745971
-54.046106,34,1277.0909
142.685717,92,1277.954656
223.914694,68,1278.59237
3065.471537,168,1280.307802
2825.95674,140,1281.902145
-442.348313,107,1283.006789
1686.588737,146,1284.382032
548.409257,71,1285.053708
-59.207343,86,1285.908968
-685.79225,73,1286.660389
212.055602,75,1287.542263
-181.631363,42,1287.984186
2450.716663,193,1290.392823
2243.048988,160,1292.016634
-1356.12385,135,1293.616477
-111.398334,74,1294.345428
-262.479091,63,1295.04974
-817.416196,70,1295.713919
3007.87578,177,1297.515046
-662.791595,16,1297.66715
41.874883,100,1298.628289
-118.889552,111,1299.713808
48.607887,89,1300.573243
-62.085422,99,1301.853525
-753.876267,13,1302.021076
165.751821,48,1302.608506
-875.79978,96,1303.730196
50.767678,51,1304.240183
-567.467479,21,1304.446988
-44.209973,84,1305.266438
-845.619356,44,1305.683492
372.227542,112,1306.759098
-105.748181,80,1307.509125
-751.079178,34,1307.829823
-703.956465,49,1308.284472
-258.048992,125,1309.466174
2129.408743,139,1310.781382
2556.91313,144,1312.143556
-102.990969,50,1312.606016
150.227597,67,1313.236058
143.487413,81,1313.99935
8.063909,71,1314.657441
2933.166692,179,1316.332732
3030.107581,201,1318.223842
-311.45236,80,1318.970014
109.392489,73,1319.647198
1777.205634,173,1321.287479
573.02317,110,1322.34053
3400.737597,182,1324.065328
2879.638843,188,1326.370824
2071.723562,182,1328.357767
2602.279354,206,1330.307825
-799.021995,34,1330.62501
-324.424974,173,1332.261474
3035.080893,214,1334.286032
356.094108,56,1334.815435
255.212256,76,1335.525655
2599.943059,176,1337.167582
2949.210957,181,1338.856135
-277.602334,29,1339.128659
2839.044783,181,1340.833638
2716.357384,209,1342.790296
-551.190283,19,1342.968439
195.576471,66,1343.594696
207.943204,60,1344.158816
332.328907,99,1345.083733
-784.009537,27,1345.355492
-768.578914,21,1345.551589
3460.622988,185,1347.298659
339.099548,101,1348.244248
316.067711,81,1348.995262
271.74,54,1349.497456
-696.341265,24,1349.722283
-28.170018,35,1350.050445
-767.839281,23,1350.264143
-575.179678,23,1350.477262
-1.419699,48,1350.922165
-673.784849,13,1351.0412
333.928832,71,1351.709826
155.881295,57,1352.239362
287.773182,53,1352.734272
-665.44973,16,1352.881436
-525.666609,15,1353.020682
321.54781,47,1353.467079
-595.483564,30,1353.744063
57.533113,100,1354.665458
-756.54718,33,1354.980032
2926.466699,173,1356.894894
819.903713,105,1357.907983
128.565607,72,1358.605807
-764.849832,69,1359.245627
63.040193,131,1360.975291
3493.156262,198,1363.419863
710.278533,90,1364.272649
189.485083,49,1364.730588
15.718573,37,1365.088048
-912.098936,30,1365.380415
2108.502043,159,1366.882948
3349.135114,202,1368.790133
-433.817474,46,1369.218104
105.679681,81,1369.989346
-137.726208,84,1370.82581
-520.437759,47,1371.280029
363.346146,63,1371.867029
282.352293,94,1372.748011
-408.193252,41,1373.117303
202.445595,75,1373.82127
-325.606691,27,1374.074467
3624.208601,168,1375.640903
-443.940845,86,1376.459721
-251.477149,75,1377.155811
2776.108614,162,1378.688903
2821.110028,160,1380.2038
-176.013878,73,1380.883044
-203.689597,93,1381.752619
76.123712,56,1382.276708
-725.057534,32,1382.572821
-380.968335,44,1382.98178
3167.961573,186,1384.714468
-269.694693,57,1385.255229
232.447949,96,1386.15433
3067.587318,196,1388.023049
2980.672681,199,1389.897474
2812.621065,170,1391.763992
-860.002289,22,1391.967202
-88.323557,110,1393.002882
-89.565056,93,1393.877282
-716.724597,27,1394.13328
-57.091515,37,1394.483869
92.770293,99,1395.424047
3626.816189,188,1397.206998
341.742735,59,1397.775602
-696.345788,17,1397.93389
56.432049,43,1398.337847
241.967335,56,1398.864224
99.075531,54,1399.373671
-350.002903,63,1399.96604
-1226.866013,135,1401.23246
2341.880401,139,1402.534039
214.636271,96,1403.459253
-573.836577,24,1403.697111
-296.019029,46,1404.133819
3783.960013,209,1406.097109
-742.971877,20,1406.282224
2392.789355,182,1408.014672
2884.375837,182,1409.727127
2196.813315,175,1411.38723
-568.87158,115,1412.471724
1527.179095,220,1414.532074
458.736645,82,1415.291558
2212.568185,166,1416.858051
2452.910674,194,1418.702972
4.170701,69,1419.360472
3174.789499,169,1421.138747
3019.097989,154,1423.344849
-69.999587,77,1424.180278
246.858633,47,1424.636154
226.024627,47,1425.075714
-948.997349,40,1425.448732
-25.330537,58,1425.983055
