#{"t_start": 1642770742.7957847, "env_id": "twocarlanechangeScenario-v0"}
r,l,t
104.57932,140,478.650084
225.806536,132,479.628006
68.775907,144,480.694631
185.740246,135,481.700875
-278.678442,78,482.297163
62.552517,162,483.495775
-326.027737,95,484.196718
-454.156739,119,485.074848
178.243195,136,486.104304
-368.879694,91,486.786725
30.777745,154,487.917735
229.458027,124,488.828116
155.009876,126,489.769577
-313.354264,82,490.375728
109.400013,141,491.417257
-349.732878,92,492.098534
89.233626,152,493.214757
154.992526,139,494.248298
102.557247,159,495.413242
209.605282,134,496.415142
-353.778127,87,497.057853
-425.245651,121,497.955179
-393.744543,107,498.742741
179.977927,135,499.741308
101.305305,155,500.881425
-380.577099,100,501.616835
136.663731,148,502.718915
157.666602,145,503.78338
120.95276,138,504.805314
140.192735,147,506.132263
-442.889374,123,507.039436
-327.728499,92,507.711905
-408.87655,88,508.367273
-344.351426,91,509.040634
200.470111,133,510.024409
168.768917,137,511.028244
-296.119536,78,511.609346
-12.294412,165,512.840918
-217.422334,47,513.187609
-373.422889,105,513.970062
41.766168,160,515.149303
222.686193,144,516.226354
63.471768,157,517.397465
-243.425096,69,517.910781
-330.308723,99,518.642982
101.923502,157,519.803692
197.594124,132,520.795223
-326.809256,89,521.461868
-359.443949,99,522.181488
113.477174,144,523.240941
-322.086309,87,523.893895
-432.728781,114,524.730229
125.636283,132,525.706406
-344.252496,91,526.388312
104.298299,158,527.730348
-266.647811,72,528.374625
105.028108,153,529.953404
-351.387866,95,530.72694
-358.483153,99,531.456271
-292.224393,72,531.99321
40.595324,164,533.211817
-386.811557,105,534.012542
137.252968,146,535.111319
-317.546331,89,535.774449
-260.419083,65,536.244214
113.227663,140,537.282975
-298.567263,79,537.862056
-393.05238,108,538.644131
57.613154,169,539.902876
-231.911329,65,540.384351
17.732453,165,541.807535
-346.401287,93,542.491777
98.6705,145,543.578702
-265.818531,66,544.094135
-408.011513,110,544.900528
-248.817832,66,545.392712
195.561987,125,546.325545
162.385687,126,547.260493
139.669885,134,548.251115
144.3941,158,549.442548
16.390178,169,550.696814
-312.075071,91,551.374501
-263.586034,76,551.953478
-236.055558,63,552.421533
185.247035,133,553.415082
-337.227738,91,554.090162
-304.682609,80,554.686441
90.190551,150,555.791715
-311.556657,87,556.447653
-345.262466,97,557.180699
120.265406,143,558.237865
237.001119,138,559.270477
268.45544,139,560.300043
-279.010537,73,560.84003
-344.404262,97,561.55311
95.77378,162,562.750416
-321.211396,92,563.430852
-342.157271,90,564.104368
-294.906633,73,564.65164
150.03182,138,565.68363
71.567741,167,567.042248
-354.134635,102,567.801422
106.108093,149,568.909258
185.478626,126,569.846908
179.13326,126,570.779644
228.11764,128,571.739566
184.491564,134,572.725485
77.406383,164,573.948096
118.694827,165,575.176768
-322.632831,93,575.871018
179.271946,131,576.835585
202.001414,139,577.87283
191.98222,144,578.93621
-413.418231,121,579.849778
79.493139,166,581.079416
172.413593,152,582.276779
179.810089,134,583.27883
100.188219,160,584.479196
187.589197,153,585.611681
