#{"t_start": 1642538009.808362, "env_id": "lanechangeScenario-v0"}
r,l,t
546.496005,175,227.649565
545.258434,168,228.233908
538.460787,154,228.797515
541.661388,141,229.15165
543.157946,167,229.614686
542.573536,146,230.069034
548.639941,147,230.554638
536.932927,142,230.986849
538.86734,130,231.372265
547.576788,179,231.958157
524.359279,234,232.728796
543.712005,149,233.20747
540.849394,159,233.692379
538.171645,137,234.064611
544.454973,139,234.40974
547.488055,135,234.964348
539.184771,128,235.380653
544.938428,175,235.966486
535.595862,135,236.383073
527.47207,216,236.915593
533.832937,195,237.516983
535.833723,121,237.902435
541.743928,156,238.541638
529.749038,128,238.973657
536.598855,163,239.436791
529.95701,156,239.959861
529.140915,120,240.366556
543.729651,151,240.845651
532.498237,153,241.340052
537.640745,139,241.97927
538.493863,142,242.549486
528.764776,180,243.266419
532.046258,122,243.752011
543.906234,155,244.384731
546.049749,154,244.785788
531.219908,115,245.0553
550.339138,160,245.672296
536.984562,165,246.173543
533.849248,154,246.659135
537.291315,118,246.991123
528.930087,174,247.460949
542.268725,168,247.93988
532.396559,151,248.525715
541.960519,142,248.964309
529.976637,119,249.296049
537.57438,129,249.612432
530.143358,131,249.928872
540.621977,174,250.445708
525.427467,187,251.069302
530.311618,123,251.485497
534.013125,178,252.118195
532.509338,158,252.534819
539.794106,144,252.973541
533.641883,119,253.452322
528.91726,169,254.006755
529.918862,120,254.470222
531.803176,112,254.909027
548.631256,115,255.597116
545.635846,125,256.013719
527.59833,134,256.483729
546.199896,179,257.11646
547.246704,148,257.532563
532.830565,126,257.864581
540.288138,115,258.187493
538.725055,123,258.651009
530.245156,142,259.105402
539.675692,131,259.537435
526.188448,142,259.954026
525.270058,138,260.439593
530.704629,143,260.871885
541.39537,140,261.357087
546.367243,120,261.773697
535.507662,115,262.31267
536.022171,122,262.713688
527.689989,149,263.099164
524.314724,169,263.747072
534.761846,137,264.163685
532.584153,148,264.618042
536.970043,122,264.99688
534.050889,117,265.319718
538.537014,209,266.052477
542.371564,190,266.63834
542.822783,152,267.123932
541.775177,120,267.455756
535.728986,113,267.756262
535.632942,121,268.025779
535.676991,124,268.45806
527.192077,181,269.011987
533.623165,169,269.55977
543.939167,140,269.960766
536.6795,120,270.277124
546.336903,132,270.577702
541.213929,135,270.931884
533.119897,192,271.633365
527.975124,188,272.44206
529.941693,145,272.877787
536.804166,120,273.213762
539.491946,172,273.779739
545.243635,141,274.211956
546.404958,128,274.628401
530.717536,178,275.28307
535.192773,135,275.645938
541.034308,132,276.000057
531.150353,116,276.347656
533.353193,161,276.886626
560.680238,144,277.334147
544.432375,139,277.793275
563.22462,164,278.439464
525.234272,139,278.907539
535.142677,180,279.55983
541.414529,120,280.040291
542.630223,165,280.614361
542.050585,123,280.949469
530.552137,175,281.53899
533.907509,187,282.278006
547.228132,108,282.646022
548.13874,145,283.092669
541.759783,158,283.475799
527.708273,120,283.831507
542.01245,150,284.301382
534.769581,130,284.733294
