#{"t_start": 1644232255.351501, "env_id": "intersectionScenario-v0"}
r,l,t
116.569616,500,153.864535
122.154864,500,155.621119
128.246264,500,157.731154
122.803253,500,159.499163
136.812529,500,161.28575
129.154323,500,163.04005
137.853335,500,165.331412
-96.157345,15,165.382139
131.745211,500,167.649998
128.869207,500,169.412189
135.581924,500,171.30011
121.606818,500,173.344529
-96.121002,15,173.409355
132.182761,500,175.498571
124.350565,500,177.740559
123.357941,500,179.861885
134.77048,500,182.140065
119.937218,500,184.125769
133.126067,500,186.231013
136.834738,500,188.365084
122.009703,500,190.486839
134.629897,500,192.623551
130.597499,500,194.732302
29.763608,485,196.72974
-92.85872,32,196.905274
-1.324175,380,198.473717
-2.584897,385,200.155948
-95.155733,19,200.219739
129.684027,500,202.456892
133.409018,500,204.455096
134.555626,500,206.834867
119.683109,500,208.975626
130.232908,500,211.504577
131.689492,500,214.200376
133.241707,500,216.324815
137.493749,500,218.443173
131.10079,500,220.582528
126.874153,500,222.690027
140.102687,500,224.830615
125.565656,500,226.805223
129.37823,500,228.848916
133.194635,500,231.135674
132.182548,500,233.305357
131.606813,500,235.450502
134.126678,500,237.715094
120.010453,500,239.819081
128.682179,500,242.383455
130.886306,500,244.50296
130.052476,500,246.637007
128.708257,500,248.548322
123.412664,500,250.660497
127.235254,500,252.759236
131.879807,500,254.795627
127.982618,500,257.069117
131.955589,500,259.459885
123.430454,500,261.249214
128.20593,500,263.159342
122.660024,500,264.90794
125.400174,500,266.699234
131.046599,500,268.775957
129.754162,500,271.348195
126.023742,500,274.531299
133.265709,500,276.868037
128.374864,500,279.034614
128.793887,500,281.096926
127.433824,500,283.230525
129.302822,500,285.369892
130.779427,500,287.431346
128.718389,500,289.569756
125.461457,500,291.633704
130.968461,500,293.722619
129.536359,500,295.877545
131.218394,500,297.954785
-94.377288,35,298.15227
125.500971,500,300.25844
131.132072,500,302.459132
132.488871,500,304.573777
132.429393,500,306.687733
132.779454,500,308.792574
130.190561,500,310.723892
-92.982254,33,310.82958
-96.873271,18,310.925914
131.198221,500,312.642201
131.440693,500,314.762764
131.001741,500,317.066228
131.158481,500,319.183853
-95.651991,26,319.302543
134.244519,500,321.660916
132.472782,500,323.700093
-97.443774,17,323.757549
132.015764,500,325.568331
128.304494,500,327.373774
125.808381,500,329.207199
128.719433,500,331.550872
132.358298,500,334.439045
130.563665,500,336.560079
129.498421,500,338.689154
132.331079,500,340.816582
128.836312,500,342.894759
132.801332,500,345.022912
127.332876,500,347.128973
133.688797,500,349.259989
-91.943712,51,349.537246
132.90949,500,351.64961
133.61949,500,354.042522
133.322382,500,356.123047
128.094033,500,358.603424
130.52896,500,360.539051
132.221556,500,362.30859
131.645677,500,364.066128
-94.357889,33,364.171146
-93.004451,41,364.346595
132.001065,500,366.064418
135.196919,500,367.850783
134.298074,500,369.611676
137.637079,500,371.358821
141.411795,500,373.447523
134.196168,500,375.757036
-93.156385,33,375.903645
-94.064343,31,376.024322
133.735454,500,378.197065
-92.6799,40,378.36462
-97.811726,15,378.413829
134.439428,500,380.696401
-97.210661,18,380.75315
133.954278,500,382.670562
-89.487106,45,382.818788
-95.323624,23,382.894152
135.382643,500,385.615591
-96.263722,20,385.675116
-90.12173,48,385.856655
-96.89887,16,385.906483
-94.39936,33,386.00532
-95.358196,30,386.093374
134.002351,500,387.869585
134.481004,500,389.498983
130.666456,500,391.34201
-97.327377,16,391.404845
-93.793497,38,391.553446
-93.390231,42,391.76887
-95.456905,24,391.858629
135.407184,500,394.279919
-91.992134,45,394.442485
-93.398287,35,394.584411
-96.236203,20,394.647655
134.873779,500,396.751181
-92.763588,30,396.845639
-94.245207,36,396.955182
135.104633,500,398.859731
-92.540759,40,399.024456
141.357113,500,401.179009
-95.368694,23,401.245264
-95.562794,23,401.346865
-95.793565,26,401.426156
-92.536085,47,401.563982
139.119409,500,403.284419
-91.014111,42,403.409281
142.050613,500,405.008065
-94.892601,27,405.121632
134.463923,500,406.683605
133.416942,500,408.275124
-76.242484,96,408.591472
-94.910201,26,408.666582
-69.019986,132,409.089066
-90.792109,52,409.276006
136.774018,500,410.893748
138.93986,500,412.901107
134.450938,500,414.950618
137.636447,500,416.573351
138.734807,500,418.301538
141.08749,500,419.897831
-88.602225,57,420.097904
139.10652,500,421.741388
137.403277,500,423.300638
134.22034,500,424.923406
138.616321,500,426.528969
137.961145,500,428.161676
134.235833,500,430.111603
-68.930343,132,430.639319
132.100268,500,432.731479
138.084774,500,434.812012
133.726975,500,436.764014
137.937204,500,438.684455
131.401441,500,440.610894
132.933863,500,442.571102
127.461024,500,444.49385
134.708917,500,446.422961
125.774326,500,448.415689
123.819683,500,450.43582
128.572593,500,453.173499
126.143375,500,455.29688
126.823752,500,457.289911
131.35595,500,459.196844
128.603647,500,461.126549
132.102849,500,463.076939
120.936207,500,464.924975
127.027041,500,466.833256
123.790912,500,468.803224
136.415976,500,470.788624
123.654581,500,472.924913
139.437762,500,474.849377
132.036915,500,476.762316
122.393203,500,478.658005
123.474626,500,480.618042
123.673535,500,482.542441
132.548811,500,484.469769
131.019783,500,486.352265
131.09007,500,488.227296
125.036403,500,490.164711
127.220091,500,492.090362
137.374205,500,494.566461
131.628183,500,496.833915
120.733378,500,498.955951
120.658009,500,501.046221
131.027702,500,503.173707
132.724912,500,505.27032
123.824509,500,507.344157
121.211649,500,509.409023
-95.254347,19,509.535686
138.243755,500,512.058903
